site_id,seeds_present,max_width,max_depth,notch_depth,petiole_length
2188,yes,71,45,3,72
2188,yes,70,35,5,36
2188,yes,59,40,3,45
2188,yes,78,47,4,76
2188,yes,73,41,4,31
2188,yes,61,31,1,25
2188,yes,79,46,4,51
2188,yes,61,36,0,32
2188,yes,55,25,0,20
2188,yes,72,45,0,65
2188,yes,72,39,4,35
2188,yes,70,40,3,46
2188,yes,78,46,2,47
2188,yes,69,36,0,40
2188,yes,82,47,1,69
2188,yes,78,45,3,43
2188,yes,62,40,3,72
2188,yes,89,52,2,51
2188,yes,74,42,4,32
2188,yes,75,45,0,51
2188,yes,72,45,0,32
2188,yes,66,40,1,30
2188,yes,73,44,4,51
2188,yes,84,50,1,70
2188,yes,68,40,2,61
2188,yes,72,48,5,65
2188,yes,70,41,5,27
2188,yes,73,42,2,45
2188,yes,70,39,2,35
2188,yes,63,35,1,36